,date,blk,age_days,age_sply,btc_blk_est,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,PriceBTC,PriceUSD,PriceRealUSD,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,notes
0,2016-02-08 00:00:00+00:00,331.0,0.0,0.08033913194434286,372384.0,1687121.7708312,,365.00000000000006,0.00273972602739726,7235.0,331.0,791498.0,2391.2326284,,826689.667707288,0.0,35675.0194461916,0.0495396598240469,,0.05,,84.46512,,0.00131209,0.49,0.0,1687121.7708312,1705.0,2050.0,49796.7101506,,34.79712468,,2.05,,71334.10559961,,$0.49 founders
1,2016-02-09 00:00:00+00:00,690.0,1.0,0.08069211139823619,372528.0,7412.568531760015,,1.5966554653059073,0.6263091955210308,15783.0,359.0,2807946.0,7821.57660167,,830321.8262878504,0.0,148829.140604156,0.0497602214452214,,0.05,,426.9427,,0.001314025,0.49,0.0,1694534.33936296,8580.0,6129.0,153053.69501941,,33.64430474,,2.06,,206205.94375669,,$0.49 founders
2,2016-02-10 00:00:00+00:00,851.0,2.0,0.08084831827590333,372672.0,3280.344431009842,,0.7052157863560379,1.4180056932179002,5469.0,161.0,1317896.0,8185.68944099,,1646880.2432801507,0.0,228174.595912554,0.0580866592721441,,0.05,,235.42523003,,0.002549797,0.97,0.0,1697814.68379397,4053.0,2687.0,95753.38538233,,48.68573813,,2.06,,130818.57835289,,Bittrex price data
3,2016-02-11 00:00:00+00:00,1143.0,3.0,0.08113435812223095,372816.0,6006.836772880051,,1.2868104995949283,0.7771152009676541,6910.0,292.0,2220122.0,7603.15753425,,2061624.0398858883,0.0,149393.504022381,0.0554274430113977,,0.06,,369.59019,,0.0031871459999999996,1.21,0.0,1703821.52056685,6668.0,4502.0,52171.37474653,,15.6794033,,2.06,,70588.67363849,,Bittrex price data
4,2016-02-12 00:00:00+00:00,1514.0,4.0,0.08151045599249,372960.0,7898.055275439983,,1.6841486282103497,0.5937718223020755,6857.0,371.0,1390380.0,3747.65498652,,2242352.6443534,0.0,142203.528110116,0.0528025168655942,,0.05,,203.5009,,0.00340915,1.31,0.0,1711719.57584229,3854.0,3001.0,53297.26325331,,24.66798044,,2.06,,74028.60930806,,Bittrex price data
5,2016-02-13 00:00:00+00:00,1800.0,5.0,0.08180476662777762,373104.0,6180.523341040127,,1.3131677567002127,0.7615173270114743,3004.0,286.0,526738.0,1841.74125874,,1941227.1120771628,0.0,215942.48707084,0.0497554831288344,,0.05,,64.88115,,0.0028836829999999997,1.13,0.0,1717900.09918333,1304.0,1269.0,23612.86789818,,29.72482527,,5.35146084,,37720.80326738,,Bittrex price data
6,2016-02-14 00:00:00+00:00,2038.0,6.0,0.08204758928569762,373248.0,5099.275816319976,,1.080230033720801,0.9257287510841996,3985.0,238.0,824362.0,3463.70588235,,2033139.262499587,0.0,225406.918173243,0.0580609958506224,,0.05,,97.9489,,0.002897625,1.18,0.0,1722999.37499965,1687.0,1292.0,42781.46972291,,40.80245259,,2.05,,52716.76875251,,Bittrex price data
7,2016-02-15 00:00:00+00:00,2288.0,7.0,0.08230274785998333,373392.0,5358.330059999833,,1.1315889449125578,0.8837131225926512,3650.0,250.0,735240.0,2940.96,,2350566.478881124,0.0,176440.887917484,0.0546209956709957,,0.05,,100.9396,,0.0033984709999999997,1.36,0.0,1728357.70505965,1848.0,1857.0,37340.73509594,,28.60512438,,2.06,,53119.71597205,,Bittrex price data
8,2016-02-16 00:00:00+00:00,2683.0,8.0,0.08272138392984238,373536.0,8791.357467040187,,1.8471906324506142,0.5413626414255518,3014.0,395.0,829088.0,2098.95696203,,2605723.593790035,0.0,160498.812249773,0.0560687531936638,,0.05,,109.72655,,0.003681072,1.5,0.0,1737149.06252669,1957.0,2402.0,29614.71372195,,16.19458397,,2.06,,38899.3907012,,Bittrex price data
9,2016-02-17 00:00:00+00:00,2965.0,9.0,0.08299790048328239,373680.0,5806.847622239962,,1.216037290315899,0.8223432027649602,3413.0,282.0,598848.0,2123.57446809,,2736440.7789338203,0.0,251283.064279077,0.052183608815427,,0.05,,75.7706,,0.003771138,1.57,0.0,1742955.91014893,1452.0,1353.0,17792.46533663,,21.02166582,,5.15822598,,28442.31385383,,Bittrex price data
10,2016-02-18 00:00:00+00:00,3235.0,10.0,0.08327569436817761,373824.0,5833.6715827998705,,1.2175793760238633,0.8213016906262061,2568.0,270.0,495654.0,1835.75555556,,2483281.2060590563,0.0,275746.534238564,0.0504366100323625,,0.05,,62.33965,,0.0033619809999999996,1.42,0.0,1748789.58173173,1236.0,1122.0,12395.39642124,,18.22014476,,5.066295875,,20443.00242575,,Bittrex price data
11,2016-02-19 00:00:00+00:00,3507.0,11.0,0.0835561414843719,373968.0,5889.389440080151,,1.2250828675479541,0.8162713123248019,2261.0,272.0,439069.0,1614.22426471,,2544284.5081991246,0.0,253105.096076938,0.0518514948453608,,0.05,,50.29595,,0.003445899,1.45,0.0,1754678.97117181,970.0,1038.0,12251.65933379,,18.7374534,,5.00121963,,19449.47663177,,Bittrex price data
