,date,blk,age_days,age_sply,window,BlkSizeByte,BlkSizeByte,BlkSizeMeanByte,BlkSizeMeanByte,CapMrktCurUSD,CapMrktCurBTC,CapRealUSD,CapRealBTC,CapMVRVCur,PriceBTC,PriceUSD,PriceRealBTC,PriceRealUSD,BTC_PriceUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValNtv,TxTfrValUSD,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMedNtv,TxTfrValMeanNtv,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,dcr_sply,dcr_tic_sply_avg,tic_day,tic_price_avg,tic_pool_avg,DiffMean,pow_diff_avg,pow_hashrate_THs_avg,pow_work_TH,PoW_income_dcr,PoS_income_dcr,Fund_income_dcr,Total_income_dcr,PoW_income_usd,PoS_income_usd,Fund_income_usd,Total_income_usd,PoW_income_btc,PoS_income_btc,Fund_income_btc,Total_income_btc,dcr_tic_vol,dcr_tfr_vol,tic_tfr_vol_ratio,tic_usd_cost,tic_btc_cost,CapTicUSD,CapTicBTC,CapTicPriceUSD,CapTicPriceBTC
1371,2019-11-10 00:00:00+00:00,396092.0,1371.0,0.5072576930099976,2750.0,2975290.0,2975290.0,10626.03571429,10626.03571429,222098825.33159423,24560.600379889504,228303386.6289138,46962.51387520468,0.97282317,0.002305637578608998,20.8496286706711,0.004408627439957782,21.432084696363226,9042.89072320281,4574.267824159935,95371.78557393329,14152.0,3853.0,10021.0,327483.43984554,6827908.116573566,67541.02003922,1408205.1878560926,0.67108864,32.67971658,0.80046198,16.689335047990156,6.380188110703016,0.1567351906634948,10652411.55320995,10660724.39620609,5382271.250734973,1194.0,139.27811148757985,41199.05693950178,30324804940.15751,30321351915.420105,409556.4306049822,13282897000000,2745.361156475961,1372.2803472479804,457.42678241599356,4575.0682861399355,57239.760679407955,28611.535672179984,9537.17855739333,95388.47490898128,6.329807849224433,3.163981137001549,1.0546603790005165,10.5484493652265,166298.06511617033,161185.37472936965,0.5078060288929603,3467252.906323234,383.42306818180845,5324409817.086023,954775.0141814708,499.83140347986176,0.08962994054560006
1372,2019-11-11 00:00:00+00:00,396387.0,1372.0,0.5074874591716944,2752.0,4000523.0,4000523.0,13561.09491525,13561.09491525,227257232.3720506,26081.924614781747,229301797.1331568,47077.09974441759,0.99108352,0.002447344043249564,21.3242175240362,0.004417383353974932,21.51606507604911,8713.20792957335,4825.089395631105,102891.25584535804,16041.0,4351.0,11247.0,550361.89207669,11736036.703583473,163770.29715666,3492273.440544665,0.67108864,48.93410617,1.14781874,24.47633648992515,6.051267907350206,0.16525462354514903,10657236.64260558,10665564.34349908,5373380.383188536,1381.0,138.9110574966894,41049.96283783784,29242028895.200645,29250312384.220795,417564.8581081081,13319948000000,2896.2014561186625,1447.5268186893313,482.5089395631105,4826.2372143711045,61759.22984370474,30867.376753607412,10289.125584535805,102915.73218184797,7.088001381682721,3.5425961371633266,1.1808653790544423,11.81146289790049,191836.17040292808,358525.7216737619,0.3485636872114626,4090756.2266501137,469.4891089154143,5328500573.312674,955244.5032903863,499.98895135821175,0.08963341392566086
1373,2019-11-12 00:00:00+00:00,396658.0,1373.0,0.5076999380408262,2754.0,2996705.0,2996705.0,11057.95202952,11057.95202952,244783351.236971,27851.23643274121,231394333.9879118,47315.1867645989,1.05786234,0.002612270072472234,22.9591323250586,0.004437865681729481,21.70332707045183,8788.95814295734,4462.056251769885,102444.9399262398,14713.0,4333.0,10241.0,880394.26801185,20213088.49750717,175055.48034619,4019121.937494871,1.0228501,85.96760746,1.62686113,37.35131995816436,6.546339125586039,0.15275713353919446,10661698.69885735,10670043.23369438,5358984.527814238,1190.0,137.28429780830956,40861.82720588235,28853658126.91466,28854381651.5721,404122.10294117645,13353532000000,2678.8606121919315,1338.6168755309657,446.2056251769886,4463.683112899886,61504.31527570205,30733.48197787194,10244.49399262398,102482.29124619796,6.9979074055536294,3.496828802455831,1.1656096008186103,11.66034580882807,163368.3143918884,717025.9536199616,0.18556267382432512,3750794.7478451408,426.7621584761649,5332251368.060518,955671.2654488625,500.1315004926929,0.0896359287991589
1374,2019-11-13 00:00:00+00:00,396954.0,1374.0,0.5079304901407015,2756.0,2773953.0,2773953.0,9371.46283784,9371.46283784,233917240.6624538,26682.383951353037,231734941.25893727,47354.03902686219,1.00941722,0.002501503132086493,21.9300011285718,0.004439493755828179,21.725408135569378,8766.72943050848,4841.594097379595,106176.16401962108,13738.0,3909.0,9061.0,1437992.36937464,31535174.283263493,328230.58216138,7198097.037230843,0.67108864,158.70128787,0.84027908,18.427321172715274,6.035904182613364,0.16567526086324158,10666540.29295473,10674897.70247945,5345748.656095395,1372.0,134.81824855090838,40694.292929292926,28035647913.48368,28039072090.259663,396691.0471380471,13389174000000,2905.796737507757,1452.4782292138784,484.15940973795955,4842.434376459595,63724.12573294536,31852.849205886323,10617.616401962108,106194.59134079379,7.2688596400823675,3.6333788396659603,1.2111262798886535,12.113364759636982,184970.6370118463,1253021.7323627938,0.1286311672796199,4056406.278422434,462.70462782916735,5336307774.338941,956133.9700766916,500.28478098597554,0.08963862169144196
1375,2019-11-14 00:00:00+00:00,397248.0,1375.0,0.5081580561579647,2758.0,3051159.0,3051159.0,10378.09183673,10378.09183673,233797057.17863336,27042.83074783121,232444439.03760633,47436.105193887764,1.0058191,0.002534160050263006,21.9089180306564,0.004445195987186532,21.78216536603283,8645.43580362361,4778.886362530291,104700.22959449788,16021.0,4449.0,10691.0,929697.58953653,20368668.282454673,638831.19810756,13996100.354764553,0.67108864,86.96076976,0.94422249,20.686893136112282,6.117846017740237,0.16345622251691982,10671319.17931726,10679689.46482153,5325462.870789641,1063.0,130.3196814666442,40500.166101694915,27984941506.604218,27980074258.361267,424398.9322033898,13424512000000,2868.2760400081743,1433.6659087590872,477.8886362530291,4779.830585020291,62840.82464983483,31410.06887834936,10470.022959449789,104720.91648763401,7.268670553715292,3.633138871401287,1.2110462904670958,12.112855715583676,138529.8213990428,791167.7681374871,0.14900524961896724,3035038.5018330994,351.05673915952354,5339342812.840774,956485.0268158511,500.3451516274841,0.08963137647214915
1376,2019-11-15 00:00:00+00:00,397527.0,1376.0,0.5083757212835858,2760.0,3798196.0,3798196.0,13613.60573477,13613.60573477,258164471.58600402,30494.707694204964,234287885.64477903,47653.85539433267,1.10191131,0.002856408905902977,24.1820089971262,0.004463689185479607,21.945512966110513,8465.87788854471,4570.9676380399615,110535.18054865504,19268.0,4917.0,12951.0,641073.44642079,15502443.849166244,211032.63893224,5103193.173346712,0.67108864,49.49991865,1.67299246,40.4563187198443,6.398867027155201,0.1562776653673609,10675890.1469553,10684274.29590197,5300342.430131103,1443.0,126.69704155157154,40306.02857142857,29534544251.137722,29532870134.49853,386170.39642857143,13459904000000,2744.2535752839767,1371.2902914119884,457.09676380399617,4572.640630499962,66361.56464791286,33160.55416459651,11053.518054865504,110575.6368673749,7.8387103524972375,3.9169658009674926,1.3056552669891643,13.061331420453895,182823.83095891774,458249.6154618723,0.2851839083020063,4421047.525137628,522.219618962353,5343763860.3659115,957007.2464348135,500.5450399740129,0.08964191587412935
1377,2019-11-16 00:00:00+00:00,397838.0,1377.0,0.5086172740945101,2762.0,4622240.0,4622240.0,14862.50803859,14862.50803859,247362881.7458372,29178.098592920353,235504722.56570277,47797.38940962078,1.05035211,0.002731785444769144,23.1592308106529,0.004475007590756663,22.049016361726924,8477.69024284044,5072.609029410407,117477.7233243176,25315.0,5145.0,15292.0,1256749.25510082,29105346.069995992,372026.0544275,8615837.262062991,0.63022912,82.18344593,1.49405144,34.60108214194833,5.768808810331936,0.17334601178132306,10680962.75598471,10689359.78842416,5310711.327689915,1773.0,124.62771807064065,40428.57692307692,27801328127.792435,27808533805.19671,443718.5801282051,13497040000000,3045.059469086244,1521.782708823122,507.26090294104074,5074.1030808504065,70521.23507673251,35243.316997295275,11747.772332431761,117512.32440645953,8.318449136106258,4.157183854064365,1.3857279513547884,13.86136094152541,220964.94413924587,1035784.3109615741,0.1758226179505628,5117378.14238382,603.6288182038188,5348881238.508295,957610.8752530173,500.7864329000898,0.08965585754116154
1378,2019-11-17 00:00:00+00:00,398087.0,1378.0,0.5088104219646205,2764.0,3743609.0,3743609.0,15034.57429719,15034.57429719,245938058.5792213,28916.331169195393,236274681.61605978,47887.91785818813,1.04089891,0.002706249894798366,23.0170916656939,0.004481781312696194,22.11270608728373,8505.16122326125,4056.105272319168,93359.74685867461,20429.0,4538.0,12614.0,975499.57797216,22453163.20603092,637278.05052856,14668287.305550575,0.67108864,77.33467401,1.07328757,24.70395838233986,7.217274284569652,0.13855646336428898,10685018.86125703,10693422.83589255,5324368.558946619,1396.0,125.03079969276067,40604.064,29971999250.522972,29955831079.71341,363012.712,13529093000000,2434.736450961501,1216.8315816957504,405.6105272319168,4057.178559889168,56040.55207358711,28007.924057602384,9335.97468586746,93384.45081705695,6.589005264276309,3.2930503399514537,1.0976834466504846,10.979739050878246,174542.9963710939,800956.581601066,0.17892677794277348,4017472.1470783465,472.35696556706444,5352898710.655374,958083.2322185844,500.97232210459913,0.08966603097843026
1379,2019-11-18 00:00:00+00:00,398375.0,1379.0,0.5090350020926757,2766.0,7354095.0,7354095.0,25535.05208333,25535.05208333,237962711.74581596,29078.23549094749,236650139.7380178,47933.79756600952,1.00554647,0.0027202017048509612,22.2608615431099,0.004484095945217593,22.13807346628647,8183.53341350088,4716.182689160109,104986.28985540489,21932.0,4897.0,13715.0,463506.05437678,10318044.100874668,126310.71094176,2811785.2476862962,0.67108864,33.79555628,4.34916557,96.81617258183064,6.2098835554429295,0.1610336153764921,10689735.04394619,10698146.94128309,5369682.746239778,2043.0,128.01474054723215,41039.25605536332,27069520820.95092,27097099315.186714,408890.8685121107,13562578000000,2834.058779066065,1414.8548067480326,471.6182689160109,4720.5318547301085,63088.59008582477,31495.88695662147,10498.62898554049,105083.10602798672,7.709211522463344,3.8486904574325758,1.2828968191441918,12.840798799040112,261534.1149379953,201971.9394387847,0.564251777227912,5821974.721434504,711.425545331022,5358720685.376808,958794.6577639154,501.2959314095964,0.08969302361772755
1380,2019-11-19 00:00:00+00:00,398691.0,1380.0,0.5092825273480072,2768.0,3589860.0,3589860.0,11360.3164557,11360.3164557,218835880.15513217,26960.787848147345,236461024.76274693,47910.49842181264,0.92546279,0.002520893554061948,20.4616409130067,0.00447973803004952,22.10963108603122,8116.820672589129,5198.030361959711,106360.23072132585,18126.0,4530.0,11300.0,354196.69175312,7247445.519227263,82124.15033408,1680394.8744217241,0.67108864,31.34483998,1.12864054,23.093837449341976,5.636978713973304,0.17739999576743762,10694933.07430815,10703353.88628428,5411421.387015294,1707.0,131.2332905742275,41419.69085173502,27543952699.25988,27521515324.54223,417237.55205047317,13599961000000,3119.9468577158264,1559.4091085879131,519.8030361959711,5199.15900249971,63839.23227024485,31908.06921639775,10636.023072132586,106383.32455877517,7.865053922631656,3.9311043699847583,1.310368123328253,13.106526415944668,224015.22701020635,130181.46474291364,0.6324599642685202,4583719.134128522,564.7185417817532,5363304404.510937,959359.3763056971,501.48087577985024,0.08970223279005958
