,date,blk,age_days,age_sply,window,CapMrktCurUSD,CapRealUSD,CapMVRVCur,PriceBTC,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValNtv,TxTfrValUSD,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMedNtv,TxTfrValMeanNtv,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,dcr_sply,dcr_tic_sply_avg,tic_day,tic_price_avg,tic_pool_avg,DiffMean,pow_diff_avg,pow_hashrate_THs_avg,pow_work_TH
17,2016-02-25 00:00:00+00:00,5275.0,17.0,0.08578566319355953,36.0,4305582.435684753,0.0,,0.005629623,2.39,0.0,8462.28408567002,,7902.0,4141.0,1434.0,306779.57445501,,204428.39526636,,5.02352706,213.93275764,156.231951,,0.5832483817419308,1.7145354043047627,1801498.92706475,1803678.97420525,80315.57227463847,3943.0,3.6840305828169218,40092.961267605635,302787.204074434,302712.64129863266,0.0,4000000
18,2016-02-26 00:00:00+00:00,5536.0,18.0,0.08615535799928524,38.0,4396507.918703526,0.0,,0.005623048,2.43,0.0,7763.59092023992,,7346.0,3314.0,1171.0,157353.49039719,,118953.92232331,,5.12416833,134.37531204,107.5343,,0.6384782070362612,1.5662241701903645,1809262.51798499,1811446.73502554,84538.27659768028,1784.0,6.0854726225190685,41357.0,306046.977308553,306096.1650178308,7.587786259541985,4000000
19,2016-02-27 00:00:00+00:00,5797.0,19.0,0.08653082408983238,40.0,3943209.6537736617,0.0,,0.0050171090000000005,2.17,0.0,7884.787901489995,,6165.0,2690.0,1295.0,140267.65807581,,123048.77897822,,3.95900459,108.31479388,78.0255,,0.6314038921213354,1.5837723087836657,1817147.30588648,1819333.03998706,89318.04291664623,1452.0,7.398992004313015,41632.916030534354,269200.256402956,269465.6179277513,3.5381679389312977,5000000
20,2016-02-28 00:00:00+00:00,6116.0,20.0,0.08698395672576,42.0,4091725.3243797505,0.0,,0.005167243,2.24,0.0,9515.785354479915,,10258.0,3859.0,1501.0,66536.49277105,,20515.00349835,,3.43524418,44.32810977,120.852196,,0.5259215322677188,1.9014243354671263,1826663.09124096,1828854.00626163,94089.96684314095,909.0,5.061668022749993,41339.440625,253340.2539789,253256.81115396367,0.0,5000000
21,2016-02-29 00:00:00+00:00,6399.0,21.0,0.08738215467858429,44.0,3780152.0113955564,0.0,,0.00470642,2.06,0.0,8362.157009310089,,8778.0,3931.0,2287.0,36287.5667129,,26906.91048775,,5.05722413,15.86688531,112.10443004,,0.6012164598159309,1.6632944485687586,1835025.24825027,1837220.20187699,97217.35733344938,1614.0,5.597320480563394,41071.66901408451,263915.4903619,263968.39751409605,4.96830985915493,5000000
22,2016-03-01 00:00:00+00:00,6695.0,22.0,0.08780061805146143,46.0,3171358.3240187867,0.0,,0.003952933,1.72,0.0,8787.730830420041,,8330.0,4012.0,2257.0,193178.94835682,,38001.1863794,,6.3604991,85.59102719,119.92925001,,0.5748403661788979,1.7396133932751459,1843812.97908069,1846010.6298475,102714.40636930623,1905.0,7.300249376026923,41476.02693602694,267529.830302503,267425.5333269454,7.215488215488215,6000000
23,2016-03-02 00:00:00+00:00,6956.0,23.0,0.0881705870142481,48.0,3147689.956408657,0.0,,0.004009529,1.7,0.0,7769.348218519939,,5446.0,2445.0,1588.0,171957.93339416,,33824.14329453,,3.91775029,108.28585226,67.35760003,,0.6529284247909294,1.531561442313075,1851582.32729921,1853781.78823606,107829.2130226731,1881.0,8.63368521847324,41493.248091603054,271623.747905259,271717.7192769549,0.0,6000000
24,2016-03-03 00:00:00+00:00,7278.0,24.0,0.08862843869133429,50.0,3238483.1497813547,0.0,,0.004126645,1.74,0.0,9614.885218810057,,10602.0,4619.0,2235.0,3368600.67489348,,1053664.91242366,,5.31218137,1507.20388138,144.82320103,,0.5303412707703571,1.8855783155390327,1861197.21251802,1863399.98665499,115580.90805039096,523.0,7.796942718018562,41722.23219814242,263438.238540392,263336.3982584303,3.996904024767802,6000000
25,2016-03-04 00:00:00+00:00,7538.0,25.0,0.08900169912533429,52.0,3252122.086039715,0.0,,0.004234195,1.74,0.0,7838.469113999978,,4819.0,2494.0,1622.0,468905.02947363,,429959.83574745,,9.8595395,289.09064702,47.45740002,,0.6532711462695749,1.5307579489931216,1869035.68163202,1871239.09634908,120655.97114707742,2311.0,10.76728516977012,41821.06513409962,268855.750757206,269021.2928723509,5.816091954022989,7000000
26,2016-03-05 00:00:00+00:00,7836.0,26.0,0.0894284023972319,54.0,3173814.0010777605,0.0,,0.004218988,1.69,0.0,8960.768709850032,,11988.0,3983.0,1366.0,110505.69719976,,28282.97807585,,4.972106395,80.89728931,136.877051,,0.5741913356948366,1.741579744998915,1877996.45034187,1880202.49127903,125750.17761735356,744.0,8.024093282775967,41747.80602006689,256794.912212925,256769.0295174422,0.0,7000000
27,2016-03-06 00:00:00+00:00,8122.0,27.0,0.08983653957395715,56.0,3829731.6820377926,0.0,,0.004979029,2.03,0.0,8570.880711229984,,9077.0,3680.0,1846.0,206862.46863229,,76043.54079905,,6.42171973,112.05984216,104.28184565,,0.6030509341416115,1.6582347251039575,1886567.3310531,1888776.71055039,132069.41427944755,1873.0,8.593563130627183,41780.37630662021,255788.69168174,255827.0335307549,0.1986062717770035,7000000
28,2016-03-07 00:00:00+00:00,8410.0,28.0,0.09024587087570905,58.0,4093552.7029221626,0.0,,0.005213362,2.16,0.0,8595.957336789928,,7458.0,3447.0,2042.0,228580.40496519,,81092.60767833,,10.94177903,111.93947354,90.68955004,,0.6040314049893302,1.6555430590859168,1895163.28838989,1897375.63938735,136644.11202893767,1901.0,10.210262289792402,41628.40484429066,265021.365183431,264920.2480336309,11.449826989619377,8000000
29,2016-03-08 00:00:00+00:00,8699.0,29.0,0.09065880194874429,60.0,4435935.179352058,0.0,,0.005628426999999999,2.33,0.0,8671.552533739945,,7493.0,3938.0,1670.0,270935.62103983,,105912.13779132,,9.0577413,162.23689883,99.99215002,,0.601505421924094,1.6624954049478102,1903834.84092363,1906048.69692121,147393.98380171246,1685.0,19.144295456034513,42227.85172413793,269827.064221034,269845.4540464179,0.0,8000000
30,2016-03-09 00:00:00+00:00,8971.0,30.0,0.09104376705731858,62.0,4741559.388345151,0.0,,0.00597792,2.48,0.0,8084.267280060099,,5794.0,2847.0,1704.0,382770.75290495,,99306.46366337,,9.895608725,224.63072354,55.06405012,,0.6479417814331428,1.5433485363270774,1911919.10820369,1914134.90227146,166150.9964304881,1422.0,27.45388321487176,42444.380952380954,257551.220982332,257696.02579987785,0.0,8000000
31,2016-03-10 00:00:00+00:00,9314.0,31.0,0.0915227193139762,64.0,4458986.88497692,0.0,,0.005561815,2.32,0.0,10057.997389809927,,12873.0,4341.0,2004.0,297910.91316689,,278869.71243173,,8.51062772,148.6581403,97.99185007,,0.5235327169194736,1.9101003006729256,1921977.1055935,1924197.87287149,192909.5995968953,914.0,19.150196940697693,42333.00872093023,259474.039149407,259340.38919016247,10.674418604651162,9000000
32,2016-03-11 00:00:00+00:00,9571.0,32.0,0.09188861239575905,66.0,4631186.064746256,0.0,,0.005691385,2.4,0.0,7683.754717440112,,5565.0,2252.0,1212.0,1003981.40302659,,479974.5585567,,3.11135339,828.36749425,40.722717,,0.6880414950055799,1.4534007138506817,1929660.86031094,1931882.54778039,200241.7375003634,1960.0,14.348099636550398,41652.701550387595,314383.382514012,314090.2565979718,0.0,9000000
33,2016-03-12 00:00:00+00:00,9852.0,33.0,0.09228841899727382,68.0,4418769.50158947,0.0,,0.0055390890000000005,2.28,0.0,8395.938631810015,,10736.0,4036.0,1908.0,151467.37768185,,42950.17702902,,8.35482528,79.38541807,103.24930101,,0.6324182307050742,1.5812320889059666,1938056.79894275,1940283.80009237,209915.65914461444,464.0,11.699174317659544,42089.382978723406,296778.001278202,296997.644621581,5.411347517730497,9000000
34,2016-03-13 00:00:00+00:00,10124.0,34.0,0.09267247473040857,70.0,4631770.28702582,0.0,,0.00574782,2.38,0.0,8065.170395829948,,9172.0,2829.0,1562.0,30012.96266862,,17650.43231909,,8.0835332,19.21444473,67.95180007,,0.6610946514711357,1.5126427021829587,1946121.96933858,1948351.47326839,214814.84498919192,2065.0,13.43216675516485,42015.53846153846,278768.674280844,278800.63112371165,6.681318681318682,10000000
35,2016-03-14 00:00:00+00:00,10425.0,35.0,0.0930971091161162,72.0,4731195.085281025,0.0,,0.005811161,2.42,0.0,8917.32209986006,,7972.0,3408.0,1209.0,452884.89850148,,229044.94947024,,4.22148509,374.59462242,76.88260111,,0.6006592530085069,1.664837418205622,1955039.29143844,1957271.62645841,218457.70965053941,1857.0,13.283271395099426,41785.208609271525,257883.887306825,257934.3649537632,0.0,10000000
36,2016-03-15 00:00:00+00:00,10747.0,36.0,0.09355854902105572,74.0,5088649.48125522,0.0,,0.006213564,2.59,0.0,9690.238003729843,,10545.0,4318.0,1896.0,199240.2796401,,51810.87863918,,8.10104436,105.08453568,93.90068602,,0.5554890010479411,1.8002156624406245,1964729.52944217,1966963.95357426,226759.30131799582,575.0,12.944706325046466,42188.910216718265,271195.057850421,271090.18784874753,6.052631578947368,10000000
37,2016-03-16 00:00:00+00:00,10990.0,37.0,0.09390761580253619,76.0,5166797.021455541,0.0,,0.006282823000000001,2.62,0.0,7330.402411089977,,7548.0,2812.0,1322.0,50081.74624991,,35340.87426602,,6.27892573,37.88331789,63.74622803,,0.7370542051977568,1.3567523161090886,1972059.93185326,1974296.51717307,233131.8566675592,2031.0,14.441319574098392,42241.684426229505,291369.209976507,291385.36773239344,3.372950819672131,11000000
38,2016-03-17 00:00:00+00:00,11292.0,38.0,0.09434469850750428,78.0,4933284.2849574,0.0,,0.005919833,2.49,0.0,9178.736804330023,,7505.0,3254.0,1670.0,61534.80022959,,37705.59797624,,6.964759925,36.84718577,57.13187402,,0.5913723492372546,1.6909820036222336,1981238.66865759,1983476.12080229,235421.6659748506,1380.0,12.763759537326731,41874.732673267325,263109.538962825,263250.8311769791,0.0,11000000
39,2016-03-18 00:00:00+00:00,11616.0,39.0,0.09480884066151905,80.0,4838095.138957318,0.0,,0.005933341,2.43,0.0,9746.985234310152,,8607.0,3440.0,1863.0,196233.08890309,,82933.23318551,,10.13513669,105.33177075,48.59325206,,0.5596351163989688,1.7868785762312513,1990985.6538919,1993224.04444079,244073.4119647685,1118.0,12.149363877169293,42058.833846153844,267715.324411658,267539.54818685056,8.864615384615385,11000000
40,2016-03-19 00:00:00+00:00,11887.0,40.0,0.09519818038722,82.0,4618063.730584042,0.0,,0.005628106,2.31,0.0,8176.134239719948,,12276.0,4124.0,1707.0,54850.09521195,,35671.97219503,,8.62307448,32.13245179,114.13471605,,0.6698955060343837,1.4927701275677359,1999161.78813162,2001402.91066221,248431.05381245172,1154.0,10.959808037904436,41577.39705882353,319946.513091609,319667.2214060364,2.0919117647058822,12000000
41,2016-03-20 00:00:00+00:00,12170.0,41.0,0.09560852515666667,84.0,4376958.2816722,0.0,,0.005268755,2.18,0.0,8617.24015838001,,5218.0,2875.0,2036.0,54369.66341458,,32442.5427316,,13.805417385,26.70415688,38.51825411,,0.6383441055335058,1.5665531980815186,2007779.02829,2010020.3716735,259271.9285794411,2353.0,19.144769450140824,42186.616197183095,334002.2497944,333988.090109571,0.0,12000000
42,2016-03-21 00:00:00+00:00,12437.0,42.0,0.09599105946067048,86.0,4414628.8245962355,0.0,,0.0052986859999999995,2.19,0.0,8033.220384079963,,9255.0,3219.0,1883.0,88884.93990851,,43769.28493009,,10.18349302,47.20389799,70.66059607,,0.6874918177252388,1.4545627660104856,2015812.24867408,2018055.23127971,268464.02982267796,848.0,16.586172747014913,42098.600746268654,304302.847570174,304651.5830663106,12.294776119402986,13000000
43,2016-03-22 00:00:00+00:00,12734.0,43.0,0.09641126793361858,88.0,4312476.0146707585,0.0,,0.005094597,2.13,0.0,8824.377931910101,,7242.0,3330.0,1987.0,262557.65418705,,72667.69419278,,10.18349302,132.13772229,58.81897611,,0.6285938459045058,1.590852354847771,2024636.62660599,2026880.94989062,276050.78901373903,1657.0,14.930971702952986,41661.67785234899,271754.147024607,271819.35656423285,0.0,13000000
44,2016-03-23 00:00:00+00:00,13042.0,44.0,0.09684891370211285,90.0,4149007.462998515,0.0,,0.004879916,2.04,0.0,9190.561138379853,,11656.0,4310.0,2377.0,106025.79171107,,38099.23572971,,10.42514217,44.60487661,86.73066201,,0.60628825569988,1.6493804565711596,2033827.18774437,2036073.64224841,287268.39023354807,1130.0,14.56627192245961,41984.99029126213,290157.517579203,289898.86792143894,0.0,13000000
45,2016-03-24 00:00:00+00:00,13298.0,45.0,0.09721497633715762,92.0,3919707.8459141953,0.0,,0.004611062,1.92,0.0,7687.315335940104,,5727.0,2420.0,1429.0,98732.68569351,,61564.51572211,,6.86168062,69.09215234,41.60321409,,0.7275869630647982,1.3744061545409259,2041514.50308031,2043761.74224442,292329.4655867072,2086.0,17.650476035836633,41560.83657587549,317603.28061368,317763.02098851727,11.817120622568094,14000000
46,2016-03-25 00:00:00+00:00,13598.0,46.0,0.09764446645141714,94.0,4203594.280733508,0.0,,0.004913946,2.05,0.0,9019.292399449972,,12070.0,3675.0,1903.0,157120.24682538,,46080.48926036,,8.04678676,82.56450175,102.75706303,,0.6228760040949762,1.6054559710531406,2050533.79547976,2052783.18018719,305666.4765460008,778.0,15.278221461096376,42188.90365448505,291273.037493099,291350.54360351927,0.0,14000000
47,2016-03-26 00:00:00+00:00,13900.0,47.0,0.09807457002055857,96.0,4757597.391697296,0.0,,0.005526977,2.31,0.0,9032.174951969879,,10258.0,4101.0,2004.0,68104.11149729,,26197.55992008,,8.75799238,33.98408757,86.81211313,,0.6247273247406341,1.6006983533418626,2059565.97043173,2061816.85058814,306702.0442016356,2530.0,20.71397672534642,41580.026402640266,286064.649239178,286019.94746115914,5.706270627062707,14000000
48,2016-03-27 00:00:00+00:00,14207.0,48.0,0.0985134627873319,98.0,4282380.227365318,0.0,,0.004850388,2.07,0.0,9216.748102240032,,4961.0,2733.0,1992.0,137726.29206034,,46190.59246151,,10.10736575,69.13970485,144.5371601,,0.6149563594582406,1.6261316508393737,2068782.71853397,2071034.00786255,323780.43887186033,1252.0,27.63661994659082,42847.646103896106,320821.951315609,320635.31156044913,5.337662337662338,15000000
49,2016-03-28 00:00:00+00:00,14477.0,49.0,0.0989016343512862,100.0,4278484.702036641,0.0,,0.0048558559999999995,2.06,0.0,8151.602843040135,,13696.0,3854.0,1684.0,61823.22623966,,29059.0926935,,6.313783455,36.7121296,109.0665511,,0.698050570794135,1.4325609659803775,2076934.32137701,2079186.94127126,330806.2620921346,609.0,13.638129994022087,42080.33948339483,339814.075208137,339808.10416406416,0.0,15000000
50,2016-03-29 00:00:00+00:00,14753.0,50.0,0.09929300573999476,102.0,4295415.428312173,0.0,,0.004945741,2.06,0.0,8218.799162879819,,6564.0,2910.0,1859.0,173795.35648743,,71491.87580459,,8.27886453,93.48862641,54.82602409,,0.6950830847958134,1.4386769321163362,2085153.12053989,2087407.15319996,336265.62050330534,2137.0,18.05783884967518,41811.84115523466,329979.787485742,330021.7595124021,11.916967509025271,16000000
51,2016-03-30 00:00:00+00:00,15070.0,51.0,0.09974176271290476,104.0,4524286.356657361,0.0,,0.0052070779999999995,2.16,0.0,9423.8964311101,,7138.0,3134.0,2040.0,46549.03241937,,27210.70516699,,10.02149075,22.81815315,54.53398007,,0.6089378434635003,1.6422037334914625,2094577.016971,2096832.26226407,347573.2667035889,1049.0,17.96455186754705,42337.32075471698,325224.81255295,325187.2076801846,0.0,16000000
52,2016-03-31 00:00:00+00:00,15346.0,52.0,0.10013279590212666,106.0,4142493.7664709804,0.0,,0.004727281,1.97,0.0,8211.69697366003,,11040.0,3915.0,1583.0,104442.03582236,,40954.81544277,,5.3163328,65.977281,99.5632322,,0.7015681397146877,1.4253782966921473,2102788.71394466,2105046.35796368,349891.08348072384,960.0,14.134722410469346,41640.48014440433,354748.803513524,354610.1854783656,9.790613718411553,16000000
53,2016-04-01 00:00:00+00:00,15646.0,53.0,0.10055912501152763,108.0,4075661.3367172144,0.0,,0.004617667,1.93,0.0,8952.91129742004,,7640.0,2827.0,1574.0,41785.25446487,,30285.62912348,,6.035451405,26.54717564,97.6525141,,0.6462248202415624,1.547449074497316,2111741.62524208,2114000.51738612,361669.0372895349,2003.0,17.13563090744182,42175.73754152824,334459.968964566,334671.96255156305,0.08305647840531562,17000000
54,2016-04-02 00:00:00+00:00,15942.0,54.0,0.10098076685593332,110.0,4156368.3637902155,0.0,,0.00465702,1.96,0.0,8854.478732519783,,12460.0,3675.0,1462.0,111887.55003813,,28353.39093952,,5.94647951,76.53047198,78.79003004,,0.6561484323541976,1.5240453999289398,2120596.1039746,2122856.81714276,360589.7818636765,955.0,13.009624850909184,41594.10437710438,351498.995260093,351270.15652431804,3.531986531986532,17000000
55,2016-04-03 00:00:00+00:00,16229.0,55.0,0.1013898872906,112.0,4130624.0082190437,0.0,,0.004609171,1.94,0.0,8591.52912800014,,13280.0,3971.0,1257.0,173684.09207811,,24308.54132275,,3.37662356,138.17350205,98.92028015,,0.6789700283517989,1.4728190615828831,2129187.6331026,2131450.11904751,369506.4070922522,1710.0,13.293683085729091,41963.947916666664,371325.32703282,371311.58898063115,6.934027777777778,18000000
56,2016-04-04 00:00:00+00:00,16513.0,56.0,0.10177741717310429,114.0,4082292.202813213,0.0,,0.00453208,1.91,0.0,8138.127532590181,,6765.0,3116.0,1957.0,151803.68322626,,48653.41750119,,11.04605696,77.56958775,50.16975629,,0.7195373864551795,1.3897818498723564,2137325.76063519,2139590.81999706,368239.5324694867,2367.0,18.884293743122832,41612.15789473684,365863.808168465,365922.5015826187,0.0,18000000
57,2016-04-05 00:00:00+00:00,16792.0,57.0,0.10217641341874524,116.0,3754983.1931388876,0.0,,0.0041270659999999995,1.75,0.0,8378.921158459969,,4787.0,2528.0,1843.0,47830.06411736,,19603.45196442,,10.45421061,25.95228655,28.03271205,,0.7015990307872408,1.425315537961809,2145704.68179365,2147970.0538829,379589.06090531714,991.0,23.03116036485717,42537.92857142857,369742.218702866,369648.44497997203,11.389285714285714,19000000
58,2016-04-06 00:00:00+00:00,17055.0,58.0,0.10255000331996,118.0,3768712.62200853,0.0,,0.00413311,1.75,0.0,7845.387925509829,,8903.0,2951.0,1487.0,59971.54564369,,19951.39887053,,8.77835794,40.33056197,59.22207863,,0.7520516809790956,1.3296958510857932,2153550.06971916,2155817.17583575,384500.39088965126,631.0,14.072552737727262,41923.51515151515,355786.214296672,355989.66302441043,0.0,19000000
59,2016-04-07 00:00:00+00:00,17397.0,59.0,0.10303714328611999,120.0,3764977.2156748245,0.0,,0.004116005,1.74,0.0,10229.939289359841,,11572.0,4080.0,1793.0,46938.10134443,,11654.96011207,,7.64355592,26.17852836,85.82810269,,0.5794916509825628,1.7256504011825538,2163780.00900852,2166049.62714294,387994.0287396915,1612.0,14.009519879825122,41558.55976676385,322119.140389812,322213.52098708396,12.787172011661808,20000000
60,2016-04-08 00:00:00+00:00,17670.0,60.0,0.1034293331839381,122.0,3801027.9945097254,0.0,,0.004163197,1.75,0.0,8235.987854180392,,12565.0,4073.0,1795.0,40454.46262017,,25871.69006593,,7.33876581,22.53730508,118.20694025,,0.7225276267870523,1.3840301227605876,2172015.9968627,2174288.18775923,395213.0855348966,1489.0,12.26867785890515,41853.48175182482,378233.125471077,377821.3044829184,0.0,20000000
61,2016-04-09 00:00:00+00:00,17932.0,61.0,0.10380148093481714,124.0,3509528.070406168,0.0,,0.0038387259999999998,1.61,0.0,7815.102768459823,,6561.0,2637.0,1156.0,27051.42450322,,20386.58240348,,3.697734945,23.40088625,50.93496709,,0.7641793301927943,1.3085933634814628,2179831.09963116,2182104.72856653,391669.2919985523,2292.0,17.189513229467682,41443.55513307985,376681.46637364,376828.37073341076,8.996197718631178,20000000
