,date,blk,age_days,age_sply,CapMrktCurUSD,CapRealUSD,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,DiffMean,notes,PoW_income_btc,PoW_income_usd
0,2009-01-03 00:00:00+00:00,0.0,0.0,0.0,,0.0,0.000763941940412529,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,0.0
1,2009-01-04 00:00:00+00:00,0.0,1.0,0.0,,0.0,0.000763941940412529,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,0.0
2,2009-01-05 00:00:00+00:00,0.0,2.0,0.0,,0.0,0.000763941940412529,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,0.0
3,2009-01-06 00:00:00+00:00,0.0,3.0,0.0,,0.0,0.000763941940412529,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,0.0
4,2009-01-07 00:00:00+00:00,0.0,4.0,0.0,,0.0,0.000763941940412529,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,0.0
5,2009-01-08 00:00:00+00:00,0.0,5.0,0.0,,0.0,0.000763941940412529,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,0.0
6,2009-01-09 00:00:00+00:00,19.0,6.0,4.523809523809524e-05,,0.0,0.000763941940412529,0.0,950.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0027397260273972603,365.0,950.0,1.0,,950.0,0.7257448433919025
7,2009-01-10 00:00:00+00:00,80.0,7.0,0.00019047619047619048,3.0557677616501158,0.0,0.000763941940412529,0.0,3050.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.003593083314619358,278.3125,4000.0,1.0,PriceUSD and CapMrktCurUSD from Plan B data (@100TrillionUSD),3050.0,2.3300229182582135
8,2009-01-11 00:00:00+00:00,173.0,8.0,0.00041190476190476193,17.3,0.0,0.002,0.0,4650.0,,1.0,1.0,10.0,,10.0,,10.0,,10.0,,0.0,,0.005096479599351893,196.21387283236993,8650.0,1.0,PriceUSD and CapMrktCurUSD from Plan B data (@100TrillionUSD),4650.0,9.3
9,2009-01-12 00:00:00+00:00,267.0,9.0,0.0006357142857142857,26.7,0.0,0.002,0.0,4700.0,,6.0,6.0,24.0,,4.0,,1.0,,24.0,,0.0,,0.007781987758670942,128.50187265917603,13350.0,1.0,PriceUSD and CapMrktCurUSD from Plan B data (@100TrillionUSD),4700.0,9.4
