"date","f(sum(witness_count)/sum(transaction_count))"
"2017-08-01",0
"2017-08-02",0
"2017-08-03",0
"2017-08-04",0
"2017-08-05",0
"2017-08-06",0
"2017-08-07",0
"2017-08-08",0
"2017-08-09",0
"2017-08-10",0
"2017-08-11",0
"2017-08-12",0
"2017-08-13",0
"2017-08-14",0
"2017-08-15",0
"2017-08-16",0
"2017-08-17",0
"2017-08-18",0
"2017-08-19",0
"2017-08-20",0
"2017-08-21",0
"2017-08-22",0
"2017-08-23",0
"2017-08-24",0.0008341306641152081
"2017-08-25",0.0012922193025858798
"2017-08-26",0.0017307989491577808
"2017-08-27",0.0036465552462665767
"2017-08-28",0.005206215282588003
"2017-08-29",0.005378562586263322
"2017-08-30",0.005989700367633516
"2017-08-31",0.006693407047491487
"2017-09-01",0.00825254697359608
"2017-09-02",0.010113550468517087
"2017-09-03",0.011306320376467697
"2017-09-04",0.012399732620320856
"2017-09-05",0.013042007857584872
"2017-09-06",0.012174857453163181
"2017-09-07",0.013562217697582438
"2017-09-08",0.014787754751545684
"2017-09-09",0.015434393501308
"2017-09-10",0.02010453322293521
"2017-09-11",0.02544064506966689
"2017-09-12",0.026960152987550248
"2017-09-13",0.028843232568737658
"2017-09-14",0.0301416058611994
"2017-09-15",0.028050630137736707
"2017-09-16",0.028739534822590326
"2017-09-17",0.03348289938942651
"2017-09-18",0.03298747960624003
"2017-09-19",0.04186386820162804
"2017-09-20",0.04111605570945559
"2017-09-21",0.03974817536835425
"2017-09-22",0.04060804428530633
"2017-09-23",0.04829761455109118
"2017-09-24",0.04924518423765497
"2017-09-25",0.04230305865323936
"2017-09-26",0.04985814419225634
"2017-09-27",0.051003833912878306
"2017-09-28",0.049917384120358295
"2017-09-29",0.056426319967929316
"2017-09-30",0.06320823028239875
"2017-10-01",0.07019292620290396
"2017-10-02",0.06576226601853546
"2017-10-03",0.07074348177448854
"2017-10-04",0.06970441445543024
"2017-10-05",0.07348404167718843
"2017-10-06",0.07838941977236437
"2017-10-07",0.08624462646934168
"2017-10-08",0.09170040061245464
"2017-10-09",0.08566203956274879
"2017-10-10",0.09805312420612271
"2017-10-11",0.1017886267818737
"2017-10-12",0.10127778308387114
"2017-10-13",0.10677201850112485
"2017-10-14",0.12509381183052468
"2017-10-15",0.13379051973203798
"2017-10-16",0.13539439192946223
"2017-10-17",0.12755129500834236
"2017-10-18",0.13800333152294292
"2017-10-19",0.14546829698726838
"2017-10-20",0.17016795290788678
"2017-10-21",0.1592310180396276
"2017-10-22",0.15995517602747544
"2017-10-23",0.11541746811095363
"2017-10-24",0.0916479465468579
"2017-10-25",0.08102658402422205
"2017-10-26",0.07975487817264612
"2017-10-27",0.08249152789713489
"2017-10-28",0.08177102952681754
"2017-10-29",0.08651448244891849
"2017-10-30",0.07853782464399497
"2017-10-31",0.08564325220242491
"2017-11-01",0.09304211032375707
"2017-11-02",0.11302471051968818
"2017-11-03",0.11260527813600962
"2017-11-04",0.09926526837594052
"2017-11-05",0.10300006356066865
"2017-11-06",0.1158363127193031
"2017-11-07",0.10757785219702297
"2017-11-08",0.10042276983932091
"2017-11-09",0.10221196023218404
"2017-11-10",0.12594895950247476
"2017-11-11",0.12221913951313748
